date,close,high,low,open
2003/4/3,1215.34,1215.34,1215.34,1215.34
2003/4/4,1223.56,1223.56,1223.56,1223.56
2003/4/7,1217.92,1217.92,1217.92,1217.92
2003/4/8,1221.57,1221.57,1221.57,1221.57
2003/4/9,1243.06,1243.06,1243.06,1243.06
2003/4/10,1255.24,1255.24,1255.24,1255.24
2003/4/11,1275,1275,1275,1275
2003/4/14,1306.51,1306.51,1306.51,1306.51
2003/4/15,1317.29,1317.29,1317.29,1317.29
2003/4/16,1304.1,1304.1,1304.1,1304.1
2003/4/17,1307.72,1307.72,1307.72,1307.72
2003/4/18,1300.41,1300.41,1300.41,1300.41
2003/4/21,1274.61,1274.61,1274.61,1274.61
2003/4/22,1274.69,1274.69,1274.69,1274.69
2003/4/23,1254.13,1254.13,1254.13,1254.13
2003/4/24,1218.69,1218.69,1218.69,1218.69
2003/4/25,1205.38,1205.38,1205.38,1205.38
2003/4/28,1250.68,1250.68,1250.68,1250.68
2003/4/29,1231.56,1231.56,1231.56,1231.56
2003/4/30,1239.95,1239.95,1239.95,1239.95
2003/5/12,1251.31,1251.31,1251.31,1251.31
2003/5/13,1216.43,1216.43,1216.43,1216.43
2003/5/14,1243.1,1243.1,1243.1,1243.1
2003/5/15,1273.37,1273.37,1273.37,1273.37
2003/5/16,1274.26,1274.26,1274.26,1274.26
2003/5/19,1275.86,1275.86,1275.86,1275.86
2003/5/20,1261.33,1261.33,1261.33,1261.33
2003/5/21,1259.02,1259.02,1259.02,1259.02
2003/5/22,1270.43,1270.43,1270.43,1270.43
2003/5/23,1283.67,1283.67,1283.67,1283.67
2003/5/26,1292.69,1292.69,1292.69,1292.69
2003/5/27,1293.68,1293.68,1293.68,1293.68
2003/5/28,1277.69,1277.69,1277.69,1277.69
2003/5/29,1294.77,1294.77,1294.77,1294.77
2003/5/30,1300.87,1300.87,1300.87,1300.87
2003/6/2,1300.49,1300.49,1300.49,1300.49
2003/6/3,1285.65,1285.65,1285.65,1285.65
2003/6/4,1296.44,1296.44,1296.44,1296.44
2003/6/5,1279.54,1279.54,1279.54,1279.54
2003/6/6,1262.06,1262.06,1262.06,1262.06
2003/6/9,1249.17,1249.17,1249.17,1249.17
2003/6/10,1255.93,1255.93,1255.93,1255.93
2003/6/11,1278.27,1278.27,1278.27,1278.27
2003/6/12,1273.51,1273.51,1273.51,1273.51
2003/6/13,1277.32,1277.32,1277.32,1277.32
2003/6/16,1273.56,1273.56,1273.56,1273.56
2003/6/17,1268.92,1268.92,1268.92,1268.92
2003/6/18,1266.72,1266.72,1266.72,1266.72
2003/6/19,1253.68,1253.68,1253.68,1253.68
2003/6/20,1244.66,1244.66,1244.66,1244.66
2003/6/23,1231.94,1231.94,1231.94,1231.94
2003/6/24,1235.12,1235.12,1235.12,1235.12
2003/6/25,1226.64,1226.64,1226.64,1226.64
2003/6/26,1238.48,1238.48,1238.48,1238.48
2003/6/27,1220.74,1220.74,1220.74,1220.74
2003/6/30,1214.55,1214.55,1214.55,1214.55
2003/7/1,1215.2,1215.2,1215.2,1215.2
2003/7/2,1227.95,1227.95,1227.95,1227.95
2003/7/3,1231.17,1231.17,1231.17,1231.17
2003/7/4,1229.98,1229.98,1229.98,1229.98
2003/7/7,1232.08,1232.08,1232.08,1232.08
2003/7/8,1239.85,1239.85,1239.85,1239.85
2003/7/9,1231.8,1231.8,1231.8,1231.8
2003/7/10,1257.81,1257.81,1257.81,1257.81
2003/7/11,1255.93,1255.93,1255.93,1255.93
2003/7/14,1251.09,1251.09,1251.09,1251.09
2003/7/15,1254.36,1254.36,1254.36,1254.36
2003/7/16,1259.9,1259.9,1259.9,1259.9
2003/7/17,1269.4,1269.4,1269.4,1269.4
2003/7/18,1241.57,1241.57,1241.57,1241.57
2003/7/21,1232.15,1232.15,1232.15,1232.15
2003/7/22,1235.3,1235.3,1235.3,1235.3
2003/7/23,1239.44,1239.44,1239.44,1239.44
2003/7/24,1231.02,1231.02,1231.02,1231.02
2003/7/25,1218.67,1218.67,1218.67,1218.67
2003/7/28,1213.15,1213.15,1213.15,1213.15
2003/7/29,1219.76,1219.76,1219.76,1219.76
2003/7/30,1221.76,1221.76,1221.76,1221.76
2003/7/31,1222.74,1222.74,1222.74,1222.74
2003/8/1,1226.24,1226.24,1226.24,1226.24
2003/8/4,1240.07,1240.07,1240.07,1240.07
2003/8/5,1239.05,1239.05,1239.05,1239.05
2003/8/6,1232.94,1232.94,1232.94,1232.94
2003/8/7,1232.97,1232.97,1232.97,1232.97
2003/8/8,1218.11,1218.11,1218.11,1218.11
2003/8/11,1222.2,1222.2,1222.2,1222.2
2003/8/12,1225.86,1225.86,1225.86,1225.86
2003/8/13,1210.56,1210.56,1210.56,1210.56
2003/8/14,1203.24,1203.24,1203.24,1203.24
2003/8/15,1201.32,1201.32,1201.32,1201.32
2003/8/18,1197.99,1197.99,1197.99,1197.99
2003/8/19,1201.66,1201.66,1201.66,1201.66
2003/8/20,1195.68,1195.68,1195.68,1195.68
2003/8/21,1194.63,1194.63,1194.63,1194.63
2003/8/22,1191.43,1191.43,1191.43,1191.43
2003/8/25,1177.3,1177.3,1177.3,1177.3
2003/8/26,1179.33,1179.33,1179.33,1179.33
2003/8/27,1178.4,1178.4,1178.4,1178.4
2003/8/28,1169.38,1169.38,1169.38,1169.38
2003/8/29,1178.57,1178.57,1178.57,1178.57
2003/9/1,1199.81,1199.81,1199.81,1199.81
2003/9/2,1197.3,1197.3,1197.3,1197.3
2003/9/3,1198.44,1198.44,1198.44,1198.44
2003/9/4,1196.5,1196.5,1196.5,1196.5
2003/9/5,1183.91,1183.91,1183.91,1183.91
2003/9/8,1177.83,1177.83,1177.83,1177.83
2003/9/9,1172.05,1172.05,1172.05,1172.05
2003/9/10,1176.04,1176.04,1176.04,1176.04
2003/9/11,1176.93,1176.93,1176.93,1176.93
2003/9/12,1164.18,1164.18,1164.18,1164.18
2003/9/15,1152.36,1152.36,1152.36,1152.36
2003/9/16,1159.72,1159.72,1159.72,1159.72
2003/9/17,1147.3,1147.3,1147.3,1147.3
2003/9/18,1148.08,1148.08,1148.08,1148.08
2003/9/19,1149.29,1149.29,1149.29,1149.29
2003/9/22,1141.14,1141.14,1141.14,1141.14
2003/9/23,1147.29,1147.29,1147.29,1147.29
2003/9/24,1150.49,1150.49,1150.49,1150.49
2003/9/25,1136.69,1136.69,1136.69,1136.69
2003/9/26,1131.3,1131.3,1131.3,1131.3
2003/9/29,1116.55,1116.55,1116.55,1116.55
2003/9/30,1127.14,1127.14,1127.14,1127.14
2003/10/8,1131.27,1131.27,1131.27,1131.27
2003/10/9,1128.77,1128.77,1128.77,1128.77
2003/10/10,1155.42,1155.42,1155.42,1155.42
2003/10/13,1151.78,1151.78,1151.78,1151.78
2003/10/14,1142.3,1142.3,1142.3,1142.3
2003/10/15,1139.02,1139.02,1139.02,1139.02
2003/10/16,1124.37,1124.37,1124.37,1124.37
2003/10/17,1128.1,1128.1,1128.1,1128.1
2003/10/20,1120.36,1120.36,1120.36,1120.36
2003/10/21,1124.54,1124.54,1124.54,1124.54
2003/10/22,1152.83,1152.83,1152.83,1152.83
2003/10/23,1143.71,1143.71,1143.71,1143.71
2003/10/24,1140.03,1140.03,1140.03,1140.03
2003/10/27,1130.46,1130.46,1130.46,1130.46
2003/10/28,1130.7,1130.7,1130.7,1130.7
2003/10/29,1123.22,1123.22,1123.22,1123.22
2003/10/30,1110.8,1110.8,1110.8,1110.8
2003/10/31,1111.62,1111.62,1111.62,1111.62
2003/11/3,1123.48,1123.48,1123.48,1123.48
2003/11/4,1145.17,1145.17,1145.17,1145.17
2003/11/5,1138.91,1138.91,1138.91,1138.91
2003/11/6,1118.92,1118.92,1118.92,1118.92
2003/11/7,1103.78,1103.78,1103.78,1103.78
2003/11/10,1108.03,1108.03,1108.03,1108.03
2003/11/11,1108.89,1108.89,1108.89,1108.89
2003/11/12,1089.31,1089.31,1089.31,1089.31
2003/11/13,1091.71,1091.71,1091.71,1091.71
2003/11/14,1100.02,1100.02,1100.02,1100.02
2003/11/17,1095.94,1095.94,1095.94,1095.94
2003/11/18,1081,1081,1081,1081
2003/11/19,1098.05,1098.05,1098.05,1098.05
2003/11/20,1129.13,1129.13,1129.13,1129.13
2003/11/21,1115.47,1115.47,1115.47,1115.47
2003/11/24,1147.59,1147.59,1147.59,1147.59
2003/11/25,1151.54,1151.54,1151.54,1151.54
2003/11/26,1155.27,1155.27,1155.27,1155.27
2003/11/27,1136.02,1136.02,1136.02,1136.02
2003/11/28,1142.98,1142.98,1142.98,1142.98
2003/12/1,1168.51,1168.51,1168.51,1168.51
2003/12/2,1168.4,1168.4,1168.4,1168.4
2003/12/3,1172.47,1172.47,1172.47,1172.47
2003/12/4,1178.65,1178.65,1178.65,1178.65
2003/12/5,1176.66,1176.66,1176.66,1176.66
2003/12/8,1164.43,1164.43,1164.43,1164.43
2003/12/9,1169.28,1169.28,1169.28,1169.28
2003/12/10,1184.68,1184.68,1184.68,1184.68
2003/12/11,1184.63,1184.63,1184.63,1184.63
2003/12/12,1183.11,1183.11,1183.11,1183.11
2003/12/15,1184.67,1184.67,1184.67,1184.67
2003/12/16,1178.35,1178.35,1178.35,1178.35
2003/12/17,1169.41,1169.41,1169.41,1169.41
